Wall time,Step,Value
1690914293.7223241,49,0.9443303346633911
1690914298.0908778,99,0.6377840638160706
1690914325.218625,149,0.44645872712135315
1690914329.7096307,199,0.38186904788017273
1690914354.923119,249,0.3575773537158966
1690914359.6150017,299,0.2999228239059448
1690914363.940438,349,0.31393593549728394
1690914389.509575,399,0.2951955497264862
1690914393.9505737,449,0.2681329548358917
1690914419.1795673,499,0.31570500135421753
1690914423.8077688,549,0.2279510498046875
1690914428.109949,599,0.27005845308303833
1690914453.9522839,649,0.24609656631946564
1690914458.322796,699,0.2742922306060791
1690914483.7078855,749,0.19439804553985596
1690914488.2954595,799,0.2222779244184494
1690914513.5695195,849,0.20027285814285278
1690914518.2583122,899,0.225502148270607
1690914522.6003087,949,0.15521523356437683
1690914548.3382423,999,0.1809457689523697
1690914552.7961836,1049,0.1903337985277176
