Wall time,Step,Value
1690910861.4548674,49,0.6782061457633972
1690910862.0018682,99,0.5308152437210083
1690910862.5478673,149,0.48900097608566284
1690910863.0978687,199,0.4458072781562805
1690910877.920479,249,0.3795164227485657
1690910878.5034754,299,0.36770981550216675
1690910879.0494761,349,0.3257325291633606
1690910879.5944774,399,0.24304625391960144
1690910880.1414773,449,0.23938332498073578
1690910893.9785604,499,0.2543160021305084
1690910894.567561,549,0.2840592563152313
1690910895.111563,599,0.29769349098205566
1690910895.6575594,649,0.28313297033309937
1690910896.205561,699,0.195842906832695
1690910909.8296018,749,0.2422756850719452
1690910910.4335992,799,0.2579696774482727
1690910910.9881327,849,0.23220717906951904
1690910911.5441318,899,0.19405131042003632
1690910912.1021297,949,0.26381367444992065
1690910925.4656549,999,0.20261654257774353
1690910926.021653,1049,0.17255949974060059
1690910926.582652,1099,0.21488778293132782
1690910927.1446521,1149,0.18588708341121674
1690910927.705653,1199,0.15595458447933197
1690910941.1706898,1249,0.17127186059951782
1690910941.7156901,1299,0.1703159660100937
1690910942.2776918,1349,0.1846884787082672
1690910942.83269,1399,0.1956171840429306
1690910943.3886971,1449,0.11634279042482376
