Wall time,Step,Value
1690911665.7078006,49,1.6374232769012451
1690911666.2488017,99,1.2644225358963013
1690911666.8098009,149,1.2377841472625732
1690911667.3638031,199,1.0704708099365234
1690911682.2367997,249,1.0707899332046509
1690911682.7908404,299,0.9193521738052368
1690911683.3298404,349,0.9621853828430176
1690911683.87884,399,0.8778534531593323
1690911684.4188397,449,0.8116254806518555
1690911697.690881,499,0.8252955079078674
1690911698.2398806,549,0.9218107461929321
1690911698.7788806,599,0.8786376118659973
1690911699.3158836,649,0.8245564699172974
1690911699.8598819,699,0.7923193573951721
1690911713.4048905,749,0.7619888782501221
1690911713.9928818,799,0.7943956851959229
1690911714.553883,849,0.7723040580749512
1690911715.1108818,899,0.6921374201774597
1690911715.657883,949,0.7840050458908081
1690911729.0639713,999,0.7000210881233215
1690911729.6539688,1049,0.7199022769927979
1690911730.2254915,1099,0.7763636112213135
1690911730.7864878,1149,0.7336703538894653
1690911731.345488,1199,0.7266861796379089
1690911744.5090508,1249,0.7182602882385254
1690911745.2330515,1299,0.7205027341842651
1690911745.796053,1349,0.6983950138092041
1690911746.3620503,1399,0.7040738463401794
1690911746.9260516,1449,0.7336747050285339
1690911760.383612,1499,0.6229459047317505
1690911760.9306123,1549,0.6320863962173462
1690911761.4736102,1599,0.6825568675994873
1690911762.0126128,1649,0.6974672675132751
1690911762.5716114,1699,0.7147725224494934
1690911775.7086122,1749,0.634265124797821
1690911776.2596123,1799,0.7326697111129761
1690911776.8016133,1849,0.751347005367279
1690911777.3386126,1899,0.687927782535553
1690911790.6231744,1949,0.5946428179740906
1690911791.2001722,1999,0.747412383556366
1690911791.7531745,2049,0.7486130595207214
1690911792.3086843,2099,0.6165882349014282
1690911792.855716,2149,0.5812097787857056
1690911806.0807524,2199,0.5900932550430298
1690911806.6357536,2249,0.6345626711845398
1690911807.1917534,2299,0.6754792928695679
1690911807.7477534,2349,0.6269556879997253
1690911808.3097532,2399,0.6415725946426392
