Wall time,Step,Value
1690910686.7166235,49,2.4499731063842773
1690910687.298624,99,1.5205224752426147
1690910687.8526242,149,1.436718463897705
1690910688.4216235,199,1.2857531309127808
1690910703.1736593,249,1.0312429666519165
1690910703.8356605,299,0.8987421989440918
1690910704.3736606,349,0.9592410922050476
1690910704.927658,399,0.8577415347099304
1690910705.45466,449,0.7420058846473694
1690910719.2187054,499,0.8158181309700012
1690910719.907706,549,0.9001652598381042
1690910720.432708,599,0.7833166718482971
1690910720.9777064,649,0.7452576756477356
1690910721.5117042,699,0.6494629383087158
1690910735.0782285,749,0.7666652798652649
1690910735.625226,799,0.7737438678741455
1690910736.1582258,849,0.6549983620643616
1690910736.709226,899,0.587192714214325
1690910737.253227,949,0.6503589153289795
1690910750.9578147,999,0.6113103628158569
1690910751.491813,1049,0.5798782110214233
1690910752.028814,1099,0.658132016658783
1690910752.5703237,1149,0.630530059337616
1690910753.092325,1199,0.561185359954834
1690910767.044402,1249,0.5880550146102905
1690910767.5474005,1299,0.6384067535400391
1690910768.0914004,1349,0.5395565629005432
1690910768.6164005,1399,0.6208558678627014
1690910769.1374335,1449,0.5704737901687622
1690910782.8934608,1499,0.4844787120819092
1690910783.4444587,1549,0.4986597001552582
1690910783.9804587,1599,0.5051474571228027
1690910784.520459,1649,0.4917086064815521
1690910785.0604582,1699,0.49205201864242554
1690910798.943024,1749,0.4636177718639374
1690910799.434022,1799,0.5437376499176025
1690910799.9800243,1849,0.696015477180481
1690910800.5330215,1899,0.4893488585948944
1690910814.135023,1949,0.4408203959465027
1690910814.7940218,1999,0.5415168404579163
1690910815.3350255,2049,0.5600646138191223
1690910815.8780239,2099,0.4315181374549866
1690910816.4100232,2149,0.44899269938468933
1690910829.9975836,2199,0.4477735161781311
1690910830.5435827,2249,0.43884122371673584
1690910831.0915835,2299,0.4803921580314636
1690910831.6145866,2349,0.47731178998947144
1690910832.144583,2399,0.424599289894104
