Wall time,Step,Value
1690912315.3184745,49,1.0115106105804443
1690912319.4254744,99,0.7171134948730469
1690912344.7158067,149,0.4866913855075836
1690912348.9138055,199,0.4128453731536865
1690912372.804804,249,0.37235549092292786
1690912377.130805,299,0.30658358335494995
1690912381.221808,349,0.3404906690120697
1690912405.1578488,399,0.2889012098312378
1690912409.3228467,449,0.2863538861274719
1690912433.340882,499,0.33027416467666626
1690912437.625909,549,0.2559160590171814
1690912441.704593,599,0.2674831449985504
1690912465.516632,649,0.24707934260368347
1690912469.6636443,699,0.25754767656326294
1690912493.5116465,749,0.17646151781082153
1690912497.715644,799,0.21379728615283966
1690912521.3686845,849,0.19391927123069763
1690912525.717687,899,0.21471838653087616
1690912529.8206851,949,0.16191038489341736
1690912553.7066867,999,0.18843670189380646
1690912557.8726852,1049,0.19338634610176086
