"Step","OneCycleLR + GlobalMaxPool2d - train_loss","OneCycleLR + GlobalMaxPool2d - train_loss__MIN","OneCycleLR + GlobalMaxPool2d - train_loss__MAX","OneCycleLR + GlobalMaxPool2d + BatchNorm2d - train_loss","OneCycleLR + GlobalMaxPool2d + BatchNorm2d - train_loss__MIN","OneCycleLR + GlobalMaxPool2d + BatchNorm2d - train_loss__MAX","OneCycleLR + GlobalAvgPool2d - train_loss","OneCycleLR + GlobalAvgPool2d - train_loss__MIN","OneCycleLR + GlobalAvgPool2d - train_loss__MAX","OneCycleLR + GlobalAvgPool2d + BatchNorm2d - train_loss","OneCycleLR + GlobalAvgPool2d + BatchNorm2d - train_loss__MIN","OneCycleLR + GlobalAvgPool2d + BatchNorm2d - train_loss__MAX","final_model - whole training set - train_loss","final_model - whole training set - train_loss__MIN","final_model - whole training set - train_loss__MAX","final_model - train_loss","final_model - train_loss__MIN","final_model - train_loss__MAX"
"0","2.0545578598976135","1.923449158668518","2.185666561126709","1.6597890257835388","1.4114787578582764","1.9080992937088013","1.8389703631401062","1.7501037120819092","1.9278370141983032","0.8334664106369019","0.8147846460342407","0.852148175239563","0.6002176403999329","0.6002176403999329","0.6002176403999329","0.5766138434410095","0.5766138434410095","0.5766138434410095"
"1","1.283980667591095","1.2804005146026611","1.2875608205795288","0.9371560513973236","0.7168862223625183","1.157425880432129","1.869666576385498","1.8667477369308472","1.872585415840149","0.7472359836101532","0.7081393003463745","0.7863326668739319","0.5614458918571472","0.5614458918571472","0.5614458918571472","0.6145341992378235","0.6145341992378235","0.6145341992378235"
"2","0.8464732766151428","0.8213657140731812","0.8715808391571045","0.7326582074165344","0.6783189177513123","0.7869974970817566","1.717679738998413","1.7128539085388184","1.7225055694580078","0.5811858773231506","0.5710328817367554","0.5913388729095459","0.4467978775501251","0.4467978775501251","0.4467978775501251","0.5449075102806091","0.5449075102806091","0.5449075102806091"
"3","0.7256627976894379","0.6009924411773682","0.8503331542015076","0.521819680929184","0.5085836052894592","0.5350557565689087","1.406442642211914","1.3894420862197876","1.4234431982040405","0.563845306634903","0.543885350227356","0.58380526304245","0.38961920142173767","0.38961920142173767","0.38961920142173767","0.38912156224250793","0.38912156224250793","0.38912156224250793"
"4","0.6433118879795074","0.6060287356376648","0.6805950403213501","0.48216357827186584","0.43410724401474","0.5302199125289917","1.4110050201416016","1.398729920387268","1.423280119895935","0.6693326532840729","0.6563447117805481","0.6823205947875977","0.46817633509635925","0.46817633509635925","0.46817633509635925","0.46578967571258545","0.46578967571258545","0.46578967571258545"
"5","0.5048647671937943","0.48094603419303894","0.5287835001945496","0.4873337745666504","0.4747506082057953","0.4999169409275055","1.5204687714576721","1.4402297735214233","1.600707769393921","0.5573354661464691","0.5379071831703186","0.5767637491226196","0.4072924554347992","0.4072924554347992","0.4072924554347992","0.41056546568870544","0.41056546568870544","0.41056546568870544"
"6","0.4852482080459595","0.47291284799575806","0.4975835680961609","0.4363020062446594","0.4050248861312866","0.4675791263580322","1.1875796914100647","1.1452665328979492","1.2298928499221802","0.4221769720315933","0.4161995053291321","0.42815443873405457","0.30267685651779175","0.30267685651779175","0.30267685651779175","0.2955211400985718","0.2955211400985718","0.2955211400985718"
"7","0.53570157289505","0.5253812074661255","0.5460219383239746","0.502003625035286","0.45830920338630676","0.5456980466842651","1.315783977508545","1.2351634502410889","1.396404504776001","0.531724750995636","0.5047422051429749","0.5587072968482971","0.3447708785533905","0.3447708785533905","0.3447708785533905","0.3962676525115967","0.3962676525115967","0.3962676525115967"
"8","0.47285978496074677","0.4538592994213104","0.4918602705001831","0.42017512023448944","0.41642847657203674","0.42392176389694214","1.2474196553230286","1.1667958498001099","1.3280434608459473","0.4505704343318939","0.43028077483177185","0.470860093832016","0.43381398916244507","0.43381398916244507","0.43381398916244507","0.4073965549468994","0.4073965549468994","0.4073965549468994"
"9","0.5600654184818268","0.5360099077224731","0.5841209292411804","0.5276600569486618","0.47624459862709045","0.5790755152702332","1.2728372812271118","1.1472535133361816","1.398421049118042","0.422619491815567","0.4166003167629242","0.42863866686820984","0.31395256519317627","0.31395256519317627","0.31395256519317627","0.32386696338653564","0.32386696338653564","0.32386696338653564"
"10","0.5880456268787384","0.5617961883544922","0.6142950654029846","0.5732515156269073","0.5571329593658447","0.58937007188797","1.098621428012848","0.9489787817001343","1.2482640743255615","0.5471716523170471","0.520682156085968","0.5736611485481262","0.5161951184272766","0.5161951184272766","0.5161951184272766","0.44677719473838806","0.44677719473838806","0.44677719473838806"
"11","0.6073163449764252","0.602950394153595","0.6116822957992554","0.5492571741342545","0.4946160614490509","0.603898286819458","1.3041043877601624","1.154770016670227","1.4534387588500977","0.49942611157894135","0.4750309884548187","0.523821234703064","0.40898802876472473","0.40898802876472473","0.40898802876472473","0.41301506757736206","0.41301506757736206","0.41301506757736206"
"12","0.4454353004693985","0.4295954406261444","0.4612751603126526","0.39286911487579346","0.35633692145347595","0.42940130829811096","1.1482090950012207","1.0133758783340454","1.283042311668396","0.40426602959632874","0.39340582489967346","0.415126234292984","0.48971691727638245","0.48971691727638245","0.48971691727638245","0.4392620623111725","0.4392620623111725","0.4392620623111725"
"13","0.501079797744751","0.48970383405685425","0.5124557614326477","0.5219907164573669","0.5119820833206177","0.5319993495941162","1.1850674152374268","1.1383837461471558","1.2317510843276978","0.5057353973388672","0.5021732449531555","0.5092975497245789","0.4427334666252136","0.4427334666252136","0.4427334666252136","0.45882314443588257","0.45882314443588257","0.45882314443588257"
"14","0.6498443782329559","0.6362956762313843","0.6633930802345276","0.504229411482811","0.49255290627479553","0.5159059166908264","0.9964451491832733","0.9055884480476379","1.0873018503189087","0.5193504393100739","0.4981774687767029","0.5405234098434448","0.4125102758407593","0.4125102758407593","0.4125102758407593","0.4729105234146118","0.4729105234146118","0.4729105234146118"
"15","0.4921865910291672","0.46551188826560974","0.5188612937927246","0.4871251732110977","0.4862661361694336","0.48798421025276184","1.0011973679065704","0.9849318861961365","1.0174628496170044","0.33293431997299194","0.3072746992111206","0.3585939407348633","0.3652968108654022","0.3652968108654022","0.3652968108654022","0.31635719537734985","0.31635719537734985","0.31635719537734985"
"16","0.42983561754226685","0.40320858359336853","0.45646265149116516","0.3987119793891907","0.37406396865844727","0.4233599901199341","0.8883030116558075","0.8277767896652222","0.9488292336463928","0.2742232531309128","0.27407005429267883","0.27437645196914673","0.25293657183647156","0.25293657183647156","0.25293657183647156","0.26062601804733276","0.26062601804733276","0.26062601804733276"
"17","0.3384251147508621","0.3171222507953644","0.35972797870635986","0.2701275497674942","0.2595753073692322","0.2806797921657562","0.7663062214851379","0.7498968243598938","0.7827156186103821","0.3218444734811783","0.3144254982471466","0.32926344871520996","0.28484871983528137","0.28484871983528137","0.28484871983528137","0.32091662287712097","0.32091662287712097","0.32091662287712097"
"18","0.3207298368215561","0.2944389283657074","0.3470207452774048","0.30988724529743195","0.3008514940738678","0.3189229965209961","0.6490543186664581","0.642498791217804","0.6556098461151123","0.23662228882312775","0.22919179499149323","0.24405278265476227","0.22866974771022797","0.22866974771022797","0.22866974771022797","0.2663467228412628","0.2663467228412628","0.2663467228412628"
"19","0.4130644202232361","0.4130644202232361","0.4130644202232361","0.441803514957428","0.441803514957428","0.441803514957428","0.8571231365203857","0.8571231365203857","0.8571231365203857","0.3194890320301056","0.3194890320301056","0.3194890320301056","0.3753831684589386","0.3753831684589386","0.3753831684589386","","",""
"20","0.3128332197666168","0.2660777270793915","0.35958871245384216","0.3840164989233017","0.32726800441741943","0.44076499342918396","0.7743695378303528","0.6898255944252014","0.8589134812355042","0.29386094212532043","0.26045459508895874","0.32726728916168213","0.3721775412559509","0.3721775412559509","0.3721775412559509","0.2730581760406494","0.2730581760406494","0.2730581760406494"
"21","0.3304832875728607","0.31746116280555725","0.3435054123401642","0.39199376106262207","0.3288903534412384","0.45509716868400574","0.8586303293704987","0.7507267594337463","0.966533899307251","0.3819664269685745","0.32229316234588623","0.4416396915912628","0.3131800889968872","0.3131800889968872","0.3131800889968872","0.31869417428970337","0.31869417428970337","0.31869417428970337"
